Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
"50 Зеркало-шкаф ""Morgan 50"" универсальное (LED-подсветка, сенсорный выключатель, диммер)",,,,д6164,заводской брак,Подсветка зеленоватого цвета,Мир зеркал ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002063 от 15.09.2025 8:47:12,,Существенный,1,,
"Унитаз-моноблок SM9618 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6186,течь,При установке унитаза была обнаружена протечка и трещина внутри унитаза под чашей,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 605,66"
Унитаз-компакт Дора (Старый Оскол) гориз.выпуск,,,,д6191,заводской брак,Налив на спуске требуют замену,Строй Керамика Сервис,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002058 от 11.09.2025 11:53:31,,Существенный,1,,"4 811,44"
Сиденье ДП с доводчиком для унитаза 5005BM черное,,,,д6192,заводской брак,"При поступлении товара,при водителе, унитаз был проверен на бой.Сиденье было упаковано в заводскую упаковку.При выставке товара на витрину,был обнаружен скол на сиденье.",Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002091 от 06.10.2025 14:33:54,,Существенный,1,,"1 569,65"
Умывальник накладной A047 круглый с переливом (450*450*170мм),,,,д6193,заводской брак,Во время хранения на умывальнике появилась трещина,Китай - Хангпай,Клиент,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"1 813,40"
"105 Умывальник ""Модерн 1050"" (ТУР)",,,,д6195,заводской брак,Появилась трещина на умывальнике,Кировская керамика АО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 271,22"
600 Шкаф навесной для посуды с полкой - Цемент светлый,,,,д6201,заводской брак,Лишние отверстия в ,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"1 852,17"
"Клапан подачи воды к инсталляциям EvaGold 400, 500, 500 НЕО, 500P, 500S",,,,д6196,Брак Арматуры ,Не смывает (коробки нет),Китай - Тренд,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002089 от 06.10.2025 9:41:16,,Существенный,1,,"657,54"
"85 Тумба ""Retro 85"" №2 (ум. Модерн 850)",,,,д6198,взять на экспертизу,"не садятся умывальники,нет упаковки,с ножками",ГЭОС,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 450,00"
"85 Тумба ""Retro 85"" №2 (ум. Модерн 850)",,,,д6197,взять на экспертизу,"не садятся умывальники,нет упаковки,с ножками",ГЭОС,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 450,00"
"Ванна стальная ""Optimо""170*70 с ножками Казахстан (28)",,,,д6162,заводской брак,скол,Сантехпром ТОО,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"6 829,00"
"Унитаз-компакт ""Сканди"" белый Киров, антивсплеск, косой выпуск, арм. 3/6 сид. полипропилен",,,,д6161,заводской брак,холодный треск на бачке,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002060 от 12.09.2025 10:27:41,,Существенный,1,,"5 143,01"
"Умывальник ""Фея"" 550*440*190 белый с отверстием без перелива промышленный",,,,д6115,заводской брак,скол,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,Списание недостач товаров ГФУТ-000096 от 14.10.2025 8:44:18,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002059 от 11.09.2025 12:27:37,,Существенный,1,,"1 232,90"
"Унитаз-компакт ""W 103"" GESSO  гор.выпуск,  2 уров. арматура, сид. дюропласт,soft-close микролифт",,,,д6114,заводской брак,плеш на крышке бачка,ТОРГОВЫЙ ДОМ КЕРАМИКА - ВОЛГА ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002059 от 11.09.2025 12:27:37,,Существенный,1,,"5 723,08"
50 Тумба «НК -50» (ум. Уют 50),,,,д6110,заводской брак,бой задней планки,ВЕРСАЛЬ ООО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"2 034,50"
"800 Стол под мойку - Белый мрамор (мойки 50*80, 60*80)",,,,д5941,заводской брак,не соответствуют отверстия,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"1 848,17"
"800 Стол под мойку - Белый мрамор (мойки 50*80, 60*80)",,,,д5942,заводской брак,не соответствуют отверстия,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"1 848,17"
"800 Стол под мойку - Белый мрамор (мойки 50*80, 60*80)",,,,д5943,заводской брак,не соответствуют отверстия,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"1 848,17"
"60 Зеркало-шкаф ""Bamby 60""",,,,д5994,бой в целой коробке,бой,Росток-Мебель,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"2 666,65"
"Унитаз-моноблок TR1197 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6099,бой при доставке,бой бачка,Китай - Тренд,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000085 от 10.09.2025 9:01:13,Корректировки (бывший ЗУБАРЕВ),,,Существенный,1,,"5 606,11"
