Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,Вид дефекта,,,
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6402,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6391,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6392,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6393,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6394,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6395,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6396,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6385,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6386,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6387,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6388,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6389,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6390,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9601R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6403,заводской брак,потертость на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 237,72"
"Унитаз-моноблок SM9601R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6404,заводской брак,потертость на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 237,72"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6430,бой\скол от поставщика,"бой,сняли сидение по ЗРС",Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"A080 Бачок для унитаза-компакта, арматура",,,,д6421,заводской брак,недолив на крышке ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6429,заводской брак,недолив бачка ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6424,заводской брак,недолив эмали ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6423,заводской брак,заводской брак ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6428,заводской брак,недолив на крышке ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6426,заводской брак,царапина на крышке ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6425,заводской брак,недолив потертости ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6427,заводской брак,точка на крышке ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6422,заводской брак,недолив бачка ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6418,заводской брак,недолив бачка ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6416,заводской брак,недолив отслоение ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6419,заводской брак,точка на крышке ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6420,заводской брак,потертость на крышке ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6417,заводской брак,недолив бачка ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Бачок для унитаза-компакта, арматура",,,,д6415,заводской брак,недолив бачка ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"1 702,94"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д6412,заводской брак,недолив ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 784,31"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д6413,заводской брак,недолив ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 784,31"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д6414,заводской брак,мушка на ободе ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 784,31"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д6411,заводской брак,царапина на ободе ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 784,31"
"A080 Унитаз, сиденье тонкое ДП, крепления (без бачка)",,,,д6410,заводской брак,царапина на ободе ,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002093 от 07.10.2025 11:19:25,,Существенный,1,,"3 784,31"
"70 Подвесная тумба ""Leia 70"" (ум. Гремми 70, Фостер 70, Como 70)",,,,д6476,заводской брак,"не закреплены фурнитуры , слабая конструкция ",Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"5 700,02"
"ДК EvaGold полукруг F901BS (90*90, низ.под., рифл. стек., черн. стен., хром матовый проф. 3к.)",,,,к09,бой\скол от поставщика,"бой стекл 1/3,бой стенки 2/3,бой поддона 3/3  ",Китай - Санвей,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002085 от 06.10.2025 9:25:57,,Существенный,1,,"12 337,50"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е1,бой\скол от поставщика,бой,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е3,бой\скол от поставщика,бой,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000093 от 26.09.2025 8:55:56,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е4,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е5,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е6,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е7,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е8,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е9,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9601R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е11,заводской брак,потертость на ободе и крышке ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 237,72"
"Унитаз-моноблок SM9608, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е2,заводской брак,потертость ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 855,23"
"Унитаз-моноблок SM9609 МРАМОР безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е14,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"8 830,28"
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е12,заводской брак,отслоение эмали ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 597,32"
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е13,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 597,32"
"Унитаз-моноблок SM9614 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е15,не товарный вид склад,не товарный вид упаковки ,Китай - Смув,Сотрудники,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"6 597,32"
"Унитаз-моноблок SM9610R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е45,заводской брак,метализация на крышке бачка,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 504,63"
"Унитаз-моноблок SM9610R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е46,заводской брак,метализация на крышке бачка,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 504,63"
"Унитаз-моноблок SM9610R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е47,заводской брак,метализация на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 504,63"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е32,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е33,заводской брак,царапина на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е34,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е35,заводской брак,потертость на ободе,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е36,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е37,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е39,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9610R безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е44,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 504,63"
"Унитаз-моноблок SM9615 МРАМОР безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е42,заводской брак,царапина на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"8 525,18"
"Унитаз-моноблок T1086 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е43,заводской брак,метализация на ободе ,Китай - Виландор,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002087 от 06.10.2025 9:35:44,,Существенный,1,,"7 256,67"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е40,заводской брак,потертость на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е41,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е17,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е18,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е19,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е20,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е21,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е22,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е23,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е29,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е30,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9616 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е31,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 905,44"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е24,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е25,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е26,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е27,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,е28,заводской брак,метализация на ободе ,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"A2104 Бачок для унитаза-компакта, арматура",,,,д6472,заводской брак,потертость,Китай - Хангпай,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"1 488,40"
"A2104 Бачок для унитаза-компакта, арматура",,,,д6471,заводской брак,потертость,Китай - Хангпай,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"1 488,40"
"A2104 Бачок для унитаза-компакта, арматура",,,,д6470,заводской брак,потертость,Китай - Хангпай,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,,,Существенный,1,,"1 488,40"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6450,заводской брак,"метализация на ободе,пятна на крышке",Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
"Унитаз-моноблок SM9615 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д6451,заводской брак,"метализация на ободе,потертость на крышке ",Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002090 от 06.10.2025 10:07:33,,Существенный,1,,"6 706,69"
