№ п/п,Номенклатура,,,,Персональный номер,Причина претензии,Описание дефекта,Поставщик,Ответственность за брак,Переместить на склад,Док перемещения,Склад обнаружения,Претензия,Номер отправления,,,
"66,0","A2801 Унитаз безободковый, сиденье тонкое ДП, крепления (без бачка)",,,,д7904,заводской брак,Брак литья бачка и чаши,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3313,4"
Акт о браке 000022302 от 15.01.2026 11:10:22,,,,,,,,,,,,,,,"3,0",,"14721,2"
"67,0","Унитаз-моноблок SM9612 безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7804,заводской брак,потертость на крышке бачка,Китай - Смув,Поставщик,"Склад""Уценка Ленина"" ",,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6978,0"
"68,0","Унитаз подвесной K634 безободковый, сиденье тонкое ДП, крепления",,,,д7806,заводской брак,скол,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"4078,2"
"69,0","Унитаз подвесной K505 безободковый, сиденье тонкое ДП, крепления",,,,д7805,заводской брак,холодный треск,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3665,0"
Акт о браке 000022303 от 15.01.2026 11:42:33,,,,,,,,,,,,,,,"1,0",,"6861,6"
"70,0","Унитаз-моноблок SM9006A, сиденье ДП, арматура (с гофрой и подводкой)",,,,д7946,на рассмотрении,"Холодный треск ,течет",Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"6861,6"
Акт о браке 000022305 от 15.01.2026 15:24:33,,,,,,,,,,,,,,,"2,0",,"4737,1"
"71,0","A2801 Унитаз безободковый, сиденье тонкое ДП, крепления (без бачка)",,,,д7827,бой при доставке,бой чаши,Китай - Виздом,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"3313,4"
"72,0","A8060 Бачок для унитаза-компакта, арматура",,,,д7826,заводской брак,метеллизация,Китай - Виздом,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"1423,7"
Акт о браке 000022306 от 15.01.2026 15:43:45,,,,,,,,,,,,,,,"1,0",,"5872,7"
"73,0","Унитаз-компакт EG307T безободковый круговой смыв, сиденье тонкое ДП, крепления, арматура, горизонтальный выпуск (T2335)",,,,д7923,заводской брак,холодный треск,Китай - Джиохол,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,,,1,,"5872,7"
Акт о браке 000022307 от 15.01.2026 16:07:41,,,,,,,,,,,,,,,"1,0",,"4049,7"
"74,0","60 Зеркало-шкаф ""Sevilla 60""",,,,д7019,бой при доставке,бой,Овчинникова Марина Николаевна ИП (FSC),Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"4049,7"
Акт о браке 000022308 от 15.01.2026 16:27:47,,,,,,,,,,,,,,,"1,0",,"7314,6"
"75,0","80 Тумба ""Catherine 80""  (ум. Фостер 800П/800/COMO 80) серый камень",,,,д7018,бой при доставке,"бой угла,порвана коробка",Ротачев С.А.,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"7314,6"
Акт о браке 000022309 от 15.01.2026 16:31:34,,,,,,,,,,,,,,,"1,0",,"3375,5"
"76,0","75 Умывальник ""Стиль 750""",,,,д5433,бой в целой коробке,скол угла,Кировская керамика АО,Поставщик,Склад РВП Возврат поставщику и некомплект,,Корректировки (бывший ЗУБАРЕВ),Претензия поставщику 000002186 от 05.02.2026 15:31:20,,1,,"3375,5"
Акт о браке 000022312 от 16.01.2026 9:46:04,,,,,,,,,,,,,,,"1,0",,"7752,9"
"77,0","Унитаз-моноблок 5003B с биде безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7576,бой при доставке,бой,Китай - Хангпай,Транспортная компания,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Корректировки (бывший ЗУБАРЕВ),,,1,,"7752,9"
Акт о браке 000022313 от 16.01.2026 10:33:00,,,,,,,,,,,,,,,"1,0",,"711,6"
"78,0","Сиденье ДП с доводчиком для унитаза T1087 (подходит к T1084, T1085, немного тоньше)",,,,д7943,Брак Сиденья ,"брак, треснутое сидение",Китай - Виландор,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002177 от 05.02.2026 9:51:52,,1,,"711,6"
Акт о браке 000022318 от 16.01.2026 13:16:23,,,,,,,,,,,,,,,"1,0",,"3967,5"
"79,0","Унитаз подвесной K504 безободковый, сиденье тонкое ДП, крепления",,,,д7962,заводской брак,нет отверстия под крепления унитаза,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"3967,5"
Акт о браке 000022319 от 16.01.2026 14:41:54,,,,,,,,,,,,,,,"1,0",,"4838,0"
"80,0","35 Пенал-шкаф ""Шимо 35""",,,,д7959,заводской брак,отслоения пленки,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"4838,0"
Акт о браке 000022333 от 19.01.2026 14:38:19,,,,,,,,,,,,,,,"1,0",,"9356,2"
"81,0","EG7G Душевое ограждение квадрат EvaGold 90х90, профиль оружейная сталь, прозрачное стекло",,,,д7936,заводской брак,царапины на профиле просим сделать возврат,Китай - Санвей,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002181 от 05.02.2026 10:07:02,,1,,"9356,2"
Акт о браке 000022334 от 19.01.2026 14:39:41,,,,,,,,,,,,,,,"1,0",,"9356,2"
"82,0","EG7G Душевое ограждение квадрат EvaGold 90х90, профиль оружейная сталь, прозрачное стекло",,,,д7937,заводской брак,царапины на профиле просим сделать возврат,Китай - Санвей,Поставщик,"Склад""Уценка Ленина"" ",,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002181 от 05.02.2026 10:07:02,,1,,"9356,2"
Акт о браке 000022336 от 19.01.2026 16:03:45,,,,,,,,,,,,,,,"1,0",,"1803,9"
"83,0",800 Шкаф навесной (для посуды) под сушку - белый мрамор,,,,д7976,бой при хранении (клиент),правая дверца -внизу на лицевой стороне  скол,Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"1803,9"
Акт о браке 000022337 от 20.01.2026 10:57:25,,,,,,,,,,,,,,,"1,0",,"1562,2"
"84,0",400 Шкаф навесной для посуды с полкой - белый мрамор,,,,д7977,бой при хранении (клиент),"дверца -правый верхний угол скол, коробка дефрмирована",Ротачев С.А.,Поставщик,Склад РВП Возврат поставщику и некомплект,,Склад РВП ОСНОВНОЙ,,,1,,"1562,2"
Акт о браке 000022340 от 20.01.2026 11:17:47,,,,,,,,,,,,,,,"1,0",,"8189,9"
"85,0","Унитаз-моноблок SM9615 МРАМОР безободковый, сиденье тонкое ДП, арматура (с гофрой и подводкой)",,,,д7978,течь,течет,Китай - Смув,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,"Склад""Уценка Ленина"" ",Претензия поставщику 000002184 от 05.02.2026 13:21:16,,1,,"8189,9"
Акт о браке 000022342 от 20.01.2026 11:41:26,,,,,,,,,,,,,,,"1,0",,"756,0"
"86,0","Сиденье ДП с доводчиком для унитаза K707T, K708T",,,,д7939,Брак Сиденья ,при установкке на витрину обнаружили брак сидения,Китай - Виздом,Поставщик,ДО выяснения Уценка+Списание,Списание недостач товаров ГФУТ-000004 от 26.01.2026 13:26:42,Склад РВП ОСНОВНОЙ,Претензия поставщику 000002185 от 05.02.2026 14:08:21,,1,,"756,0"
